duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label,attack_category,binary_label
0,tcp,http,SF,217,1478,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,18,0.0,0.0,0.0,0.0,1.0,0.0,0.11,65,255,1.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,normal,Normal,Normal
0,tcp,ftp_data,SF,2447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12,55,0.42,0.17,0.42,0.05,0.0,0.0,0.0,0.0,normal,Normal,Normal
0,tcp,http,SF,241,1608,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26,255,1.0,0.0,0.04,0.06,0.04,0.0,0.0,0.0,normal,Normal,Normal
0,icmp,urp_i,SF,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,138,37,0.27,0.06,0.27,0.0,0.01,0.0,0.0,0.0,normal,Normal,Normal
0,tcp,http,SF,219,2049,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,63,255,1.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,normal,Normal,Normal
0,tcp,http,SF,215,20934,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,6,0.0,0.0,0.0,0.0,1.0,0.0,0.33,66,255,1.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,normal,Normal,Normal
0,tcp,http,SF,207,3414,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,152,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,normal,Normal,Normal
0,tcp,http,SF,221,382,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18,44,1.0,0.0,0.06,0.09,0.0,0.0,0.0,0.0,normal,Normal,Normal
0,tcp,http,SF,223,587,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,255,1.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,normal,Normal,Normal
0,tcp,http,SF,192,307,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,14,0.0,0.0,0.0,0.0,1.0,0.0,0.14,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,Normal,Normal
